shelter_name,shelter_address,date,total_attendance,capacity,program_type
Seaton House,"339 George St, Toronto, ON",2021-02-07,128,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-08,72,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-09,85,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-10,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-11,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-12,91,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-13,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-14,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-15,71,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-16,74,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-17,135,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-18,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-19,83,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-20,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-21,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-22,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-23,91,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-24,98,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-25,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-26,120,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-27,117,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-28,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-01,127,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-02,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-03,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-04,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-05,112,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-06,85,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-07,76,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-08,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-09,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-10,98,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-11,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-12,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-13,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-14,83,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-15,83,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-16,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-17,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-18,116,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-19,135,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-20,121,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-21,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-22,121,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-23,90,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-24,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-25,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-26,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-27,95,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-28,78,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-29,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-30,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-03-31,76,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-01,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-02,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-03,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-04,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-05,100,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-06,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-07,124,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-08,78,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-09,117,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-10,72,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-11,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-12,85,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-13,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-14,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-15,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-16,125,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-17,81,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-18,98,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-19,114,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-20,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-21,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-22,121,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-23,104,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-24,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-25,117,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-26,133,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-27,100,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-28,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-29,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-04-30,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-01,97,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-02,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-03,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-04,120,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-05,128,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-06,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-07,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-08,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-09,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-10,104,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-11,95,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-12,133,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-13,82,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-14,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-15,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-16,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-17,77,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-18,98,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-19,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-20,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-21,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-22,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-23,74,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-24,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-25,105,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-26,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-27,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-28,76,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-29,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-30,135,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-05-31,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-01,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-02,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-03,85,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-04,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-05,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-06,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-07,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-08,120,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-09,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-10,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-11,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-12,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-13,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-14,125,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-15,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-16,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-17,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-18,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-19,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-20,90,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-21,87,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-22,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-23,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-24,123,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-25,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-26,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-27,94,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-28,83,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-29,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-06-30,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-01,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-02,68,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-03,74,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-04,111,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-05,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-06,111,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-07,114,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-08,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-09,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-10,92,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-11,106,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-12,127,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-13,92,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-14,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-15,132,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-16,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-17,82,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-18,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-19,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-20,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-21,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-22,100,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-23,130,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-24,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-25,109,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-26,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-27,136,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-28,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-29,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-30,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-07-31,74,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-01,120,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-02,71,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-03,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-04,82,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-05,111,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-06,114,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-07,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-08,126,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-09,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-10,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-11,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-12,127,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-13,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-14,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-15,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-16,106,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-17,114,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-18,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-19,110,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-20,74,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-21,130,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-22,72,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-23,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-24,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-25,114,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-26,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-27,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-28,132,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-29,112,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-30,92,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-08-31,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-01,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-02,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-03,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-04,95,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-05,104,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-06,82,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-07,92,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-08,72,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-09,120,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-10,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-11,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-12,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-13,132,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-14,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-15,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-16,71,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-17,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-18,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-19,71,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-20,130,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-21,81,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-22,94,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-23,70,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-24,78,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-25,92,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-26,121,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-27,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-28,98,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-29,103,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-09-30,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-01,132,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-02,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-03,116,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-04,130,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-05,116,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-06,103,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-07,91,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-08,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-09,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-10,68,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-11,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-12,92,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-13,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-14,130,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-15,133,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-16,85,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-17,117,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-18,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-19,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-20,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-21,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-22,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-23,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-24,97,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-25,73,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-26,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-27,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-28,90,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-29,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-30,103,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-10-31,70,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-01,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-02,70,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-03,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-04,78,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-05,82,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-06,121,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-07,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-08,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-09,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-10,110,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-11,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-12,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-13,124,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-14,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-15,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-16,71,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-17,79,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-18,127,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-19,91,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-20,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-21,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-22,127,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-23,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-24,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-25,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-26,74,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-27,77,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-28,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-29,76,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-11-30,117,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-01,97,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-02,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-03,123,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-04,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-05,80,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-06,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-07,95,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-08,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-09,109,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-10,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-11,97,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-12,123,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-13,103,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-14,123,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-15,118,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-16,109,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-17,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-18,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-19,109,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-20,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-21,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-22,94,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-23,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-24,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-25,94,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-26,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-27,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-28,110,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-29,112,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-30,126,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-12-31,131,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-01,121,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-02,111,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-03,97,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-04,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-05,86,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-06,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-07,84,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-08,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-09,71,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-10,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-11,78,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-12,123,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-13,114,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-14,94,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-15,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-16,108,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-17,107,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-18,125,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-19,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-20,97,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-21,75,136,Homeless
Seaton House,"339 George St, Toronto, ON",2022-01-22,134,136,Homeless
